Berghaselbach	48.4835062	11.7316115
Berghausen (Wuppertal)	51.19194444	7.12944444
Berghotel Gabelbach	50.656378	10.884651
Berghotel Wilhelmsburg	51.13236	11.712735
Bergische Universität Wuppertal	51.24527778	7.14944444
Bergkirche (Wiesbaden)	50.08666667	8.23972222
Bergsee (Mecklenburg)	53.57222222	12.49472222
Bergwerk Lippe	51.60194605	7.07592487
Berich (Edersee)	51.1963	9.034
Beringstedt	54.1109	9.5345
Beringungszentrale Hiddensee	54.58980556	13.10216667
Berka/Werra	50.93808768	10.06214082
Berka (Fluss)	51.24027778	9.87638889
Berka (Fluss)	51.22336111	9.99213889
Berka (Katlenburg-Lindau)	51.686281	10.110438
Berka (Sondershausen)	51.34777778	10.92805556
Berlin-Blankenburg	52.6	13.45
Berlin-Gropiusstadt	52.42583333	13.46138889
Berlin-Gatow	52.48888889	13.18166667
Berlin-Pichelsdorf	52.5166667	13.2
Berlin-Schönholz	52.57483333	13.38216667
Berliner Arbeiter-Theater	52.53194444	13.41861111
Berliner Brücke (Duisburg)	51.45055556	6.77888889
Bermuthshain	50.47222222	9.31666667
Bernard Krone Holding	52.35598056	7.47336944
Berndroth	50.23737778	7.96853889
Bernkasteler Doctor	49.91666667	7.07833333
Bernloch	48.357561	9.332907
Bernstorfer Binnensee	53.63402778	10.94530556
Besch	49.504722	6.374167
Beselich	50.46666667	8.15
Bessarabiendeutscher Verein	48.78443	9.20676
Bethlehemkirche (Hannover)	52.37250594	9.70202744
Bethlehemkirche (Neuschoo)	53.5847512	7.4907499
Bettenhausen (Kassel)	51.30561111	9.53105556
Bettikum	51.14549	6.71509
Betzigerode	51.07138889	9.18888889
Beuren (Simmersfeld)	48.595478	8.546441
Beyenburger Mühle	51.24972222	7.30138889
Beyendorf-Sohlen	52.0519	11.6338
Bezirk Eimsbüttel	53.5685	9.98591667
Bezirk Eimsbüttel	53.6247687	9.9034121
Bezirk Eimsbüttel	53.5691899	9.9747589
Bezirk Eimsbüttel	53.5714766	9.9941463
Bezirk Köpenick	52.45	13.56666667
Bezirk Wilmersdorf	52.49194444	13.30527778
Bibers	49.04967222	9.73518056
Bibersee	47.865	9.55778
Bickensteg	48.05949582	8.46537352
Biefang	51.51	6.81
Bielefelder Kreisbahnen	52.058665	8.514361
Bielefelder Kreisbahnen	52.057874	8.497056
Biereiche	49.48944444	6.62888889
Big Tipi	51.537711	7.452952
Bilderlahe	51.89194444	10.12666667
Bildungs- und Kulturzentrum Frankfurt	50.10452	8.542586
Billingsbach	49.303834	9.896913
Bilsdorf (Nalbach)	49.38388889	6.82194444
Bina	48.35794444	12.35208333
Biotop am Speicherbecken Geeste	52.59555556	7.30083333
Birkenhof (Radebeul)	51.11444444	13.66875
Birkigsbach	50.18285833	9.09024444
Birkigt (Bad Bibra)	51.25222222	11.56194444
Birkigt (Freital)	51.01111111	13.68055556
Birschel-Mühle	51.40222222	7.1725
Bischdorf (Lübbenau)	51.79333333	13.97166667
Bischmisheim	49.22083333	7.06638889
Bischofroda	51.05609414	10.36109984
Bistum Minden	52.288782	8.919461
Bitze	50.760215	7.482505
Bitze (Morsbach)	50.85861111	7.70694444
Bitzen	50.79361111	7.68972222
Bizerba	48.26796922	8.8521266
Bladernheim	50.4047615	7.8674611
Blankenrath	50.03926389	7.30213333
Blankenrode	51.53333333	8.91666667
Blankenstein	50.40194444	11.70027778
Blausteintorbogen Peterstraße 4	50.84479	6.42063
Bleßberg	50.44611111	11.00472222
Bleckmar	52.83083333	9.93444444
Bleckriede	52.56888889	8.70361111
Blessenbach	50.41138889	8.30194444
Blies	49.52972222	7.04611111
Blies	49.11444444	7.06666667
Blindenanstalt Nürnberg	49.41441	11.14573
Blombachtalbrücke	51.23944444	7.23055556
Blombach-Lohsiepen	51.23305556	7.22388889
Blombach (Wuppertal)	51.23245833	7.22612778
Blumenthal (Heiligengrabe)	53.0769641	12.3391626
Blumerode	51.57166667	11.42722222
Bocherplatz	51.20295833	7.53408056
Bochum-Harpen	51.50027778	7.28666667
Bochum-Hiltrop	51.51444444	7.25916667
Bodenmais	49.06666667	13.1
Bodenrode-Westhausen	51.39444444	10.20083333
Bodenrod	50.40055556	8.5525
Bodensee-Gymnasium Lindau	47.55883889	9.69608056
Bodensee-Wasserversorgung	48.71788333	9.08461667
Bodensee-Marathon	47.59111111	9.59444444
Bogenhausener Tor	48.13730556	11.62275
Bogheim	50.73111111	6.3725
Bohlweg	52.264711	10.526309
Boich	50.71388889	6.49805556
Bola – Haus der Kulturen	51.44402778	7.09230556
Bolzenbach	51.01222222	7.37972222
